step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
736,0.24068,0.91884,,,,
737,0.26996,0.91594,,,,
738,0.20733,0.93043,,,,
739,0.25333,0.90725,,,,
740,0.28111,0.90145,,,,
741,0.23383,0.92464,,,,
742,0.20492,0.92174,,,,
743,0.27302,0.91884,,,,
744,0.32837,0.88696,,,,
745,0.23997,0.90725,,,,
746,0.23032,0.91014,,,,
747,0.25275,0.89275,,,,
748,0.25648,0.89275,,,,
749,0.28203,0.89565,,,,
750,0.22788,0.92754,,,,
751,0.25994,0.90145,,,,
752,0.21369,0.91304,,,,
753,0.28205,0.89855,,,,
754,0.27391,0.90435,,,,
755,0.27123,0.91304,,,,
756,0.23601,0.92754,,,,
757,0.26992,0.91014,,,,
758,0.24327,0.91304,,,,
759,0.2558,0.90725,,,,
760,0.26636,0.89855,,,,
761,0.25019,0.91014,,,,
762,0.27739,0.89275,,,,
763,0.26813,0.90145,,,,
764,0.22486,0.92754,,,,
765,0.28635,0.89565,,,,
766,0.25088,0.91014,,,,
767,0.2923,0.90145,,,,
768,0.21347,0.93043,,,,
769,0.28092,0.91014,,,,
770,0.25874,0.91304,,,,
771,0.3265,0.87246,,,,
772,0.25917,0.91304,,,,
773,0.26508,0.91304,,,,
774,0.25381,0.90435,,,,
775,0.22224,0.92464,,,,
776,0.24558,0.91594,,,,
777,0.26259,0.90145,,,,
778,0.26162,0.91594,,,,
779,0.31656,0.89855,,,,
780,0.22049,0.93333,,,,
781,0.24054,0.91884,,,,
782,0.24423,0.93333,,,,
783,0.22771,0.92754,,,,
784,0.28221,0.90435,,,,
785,0.22659,0.92174,,,,
786,0.24588,0.91304,,,,
787,0.27094,0.90725,,,,
788,0.30437,0.88986,,,,
789,0.23481,0.90725,,,,
790,0.25133,0.90725,,,,
791,0.26697,0.92464,,,,
792,0.26315,0.90145,,,,
793,0.27905,0.90145,,,,
794,0.27798,0.91884,,,,
795,0.23501,0.92174,,,,
796,0.22012,0.93623,,,,
797,0.23966,0.90435,,,,
798,0.2959,0.90145,,,,
799,0.2765,0.90145,,,,
800,0.21403,0.92464,0.23986,0.92174,,
801,0.25293,0.92174,,,,
802,0.23162,0.91884,,,,
803,0.29783,0.89275,,,,
804,0.26462,0.90435,,,,
805,0.20806,0.92464,,,,
806,0.24149,0.91884,,,,
807,0.27832,0.89275,,,,
808,0.23318,0.92174,,,,
809,0.25877,0.90725,,,,
810,0.22449,0.92464,,,,
811,0.24317,0.91594,,,,
812,0.27671,0.90435,,,,
813,0.24938,0.91594,,,,
814,0.18287,0.94203,,,,
815,0.2784,0.90725,,,,
816,0.26533,0.91884,,,,
817,0.20266,0.93333,,,,
818,0.22355,0.92464,,,,
819,0.26775,0.90145,,,,
820,0.25696,0.91304,,,,
821,0.2926,0.91014,,,,
822,0.27233,0.90435,,,,
823,0.21287,0.93333,,,,
824,0.24279,0.92464,,,,
825,0.26419,0.90725,,,,
826,0.28148,0.90435,,,,
827,0.30675,0.90145,,,,
828,0.24701,0.91884,,,,
829,0.27236,0.88986,,,,
830,0.28935,0.90145,,,,
831,0.20788,0.93333,,,,
832,0.27271,0.91594,,,,
833,0.25446,0.90725,,,,
834,0.2651,0.89565,,,,
835,0.22507,0.91884,,,,
836,0.25874,0.90435,,,,
837,0.20592,0.93333,,,,
838,0.22306,0.92754,,,,
839,0.25433,0.91014,,,,
840,0.22519,0.92464,,,,
841,0.24117,0.92174,,,,
842,0.29201,0.89275,,,,
843,0.29403,0.89855,,,,
844,0.25469,0.91014,,,,
845,0.23357,0.90725,,,,
846,0.24507,0.91594,,,,
847,0.21453,0.92754,,,,
848,0.23075,0.90725,,,,
849,0.22398,0.92464,,,,
850,0.25333,0.91594,,,,
851,0.24479,0.91014,,,,
